Track,Preference,brightness_centroid,percussiveness_zcr,tempo_bpm,rms_variance,peak_to_trough_ratio,energy_gradient,chroma_variance,melody_to_drum_ratio
Wangden Sherpa - Timi Nacha Na  [Official Lyric Visualizer] Prod. FRWNY,Liked,1619.2026766679699,0.060246949639160344,103.359375,0.010408014059066772,6.377188682556152,0.016908301040530205,0.010412903502583504,3.8654222238368527
flora cash - They Own This Town (Lyric Video),Liked,2339.7355395374752,0.08273929523824732,86.1328125,0.012405101209878922,3.1353211402893066,0.016911709681153297,0.009516457095742226,3.660059737724798
flora cash - You're Somebody Else (Lyric Video),Liked,1429.9135814508193,0.048407917997262774,103.359375,0.013117222115397453,5.184656143188477,0.01363933365792036,0.01396337989717722,7.053948135266478
গোলোকধাঁধা ｜｜ Golokdhadha ｜｜ Kaaktaal ｜｜ Demo,Liked,1658.8493999698626,0.06143313151855234,95.703125,0.006033097859472036,7.796498775482178,0.01173388957977295,0.007926573976874352,9.192846714461096
ভাবের দেশে থাকো কন্যা｜｜bhaber deshe thako konna｜｜ Bari Siddiqui ｜｜Animes Roy,Liked,1457.2191200139366,0.056100804019791256,161.4990234375,0.0013241446577012539,2.0323128700256348,0.011008871719241142,0.025894520804286003,6.989887306201685
"A.R Rahman Maahi Ve Full Song (Audio) Highway ｜ Alia Bhatt, Randeep Hooda ｜ Imtiaz Ali",Disliked,1892.3905980238985,0.0764308996677261,66.25600961538461,0.01280419435352087,4.69169807434082,0.023300403729081154,0.02043161727488041,1.8277948993116349
Adele - When We Were Young (lyrics),Disliked,1794.4722630104145,0.0729584373965831,143.5546875,0.011334644630551338,3.3861799240112305,0.015482150949537754,0.007902211509644985,5.3280821879584686
"Ariana Grande -  ​Break up with your girlfriend, i'm bored (Lyrics)",Disliked,2500.828694413669,0.07635046210756169,172.265625,0.015009373426437378,4.02000093460083,0.017094111070036888,0.014067228883504868,5.341149204631981
Avalon (dist. demo),Disliked,2279.2411905437093,0.10621966494038994,123.046875,0.008631216362118721,3.2387523651123047,0.008596931584179401,0.0045522297732532024,5.0302549917931
BLACKPINK 'Forever Young' (Color Coded Lyrics),Disliked,3063.6230521515067,0.1556660096189614,143.5546875,0.007355273701250553,2.0185067653656006,0.019293619319796562,0.009884192608296871,2.1643344614166526
BLACKPINK - 'Ice Cream (with Selena Gomez)' Audio,Disliked,3427.087328746398,0.15656418492778,161.4990234375,0.017107082530856133,4.363503456115723,0.019144779071211815,0.013450887985527515,3.5448644484587293
Billie Eilish - BIRDS OF A FEATHER (Lyrics),Disliked,1827.0718714391792,0.05252222632983124,103.359375,0.017743712291121483,5.00495719909668,0.033997733145952225,0.008936366997659206,1.6780452441835807
Billie Eilish - Happier Than Ever (Official Lyric Video),Disliked,1385.6691159271459,0.05156900586710925,161.4990234375,0.018943222239613533,8.554494857788086,0.010593662969768047,0.008720957674086094,7.9988581246766435
Billie Eilish - WILDFLOWER (Official Lyric Video),Disliked,1465.7458443554065,0.04857762756320537,73.828125,0.012131636030972004,16.28474235534668,0.011284973472356796,0.01162227988243103,3.3548815549128483
